generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
2,1.601476,9.9,-8.431642,36.8,0.023027,31.9,-0.521116,85.2,NN1C(=O)NN=C1C1=NN=NN1,"[8, 0]","[{'functional_group': 'chloro', 'smiles_inds': [11]}]"
2,1.782917,10.1,-5.866588,47.5,0.005511,10.1,-0.915232,78.8,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [5]}, {'functional_group': 'tribromo', 'smiles_inds': [17]}]"
2,1.848490,10.7,-3.582591,61.4,0.062041,55.7,-6.673078,19.1,Fc1c(F)c(F)c([N-]CC[NH2+]CC[N-]c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,"[7, 13, 10]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [12]}]"
2,2.218947,12.2,-10.649903,28.4,0.022773,31.6,-2.321919,52.8,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'tribromo', 'smiles_inds': [8]}]"
2,2.479582,13.9,-30.255216,3.5,0.038869,45.8,-2.975372,42.6,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'thiol', 'smiles_inds': [0]}, {'functional_group': 'cyano', 'smiles_inds': [6]}]"
2,3.037966,14.8,-6.027194,47.2,0.014842,21.4,-1.194331,71.9,N1C(=NN=C1c1cccc(n1)C1=NN=C(N1)c1ccncc1)c1ccncc1,"[3, 10, 12]","[{'functional_group': 'phosphonate', 'smiles_inds': [24]}]"
2,3.084391,15.1,-1.667300,84.1,0.292699,81.7,-8.526773,13.3,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [12]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [7]}]"
2,3.109617,15.7,-6.097271,47.0,0.307754,82.3,-8.457850,13.3,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
2,3.196640,15.9,-6.703135,44.9,0.012230,18.8,-3.098615,41.7,C(NCc1ccccn1)C1=CNC=N1,"[8, 1, 13]","[{'functional_group': 'amide', 'smiles_inds': [6]}]"
2,3.232509,16.2,-30.704721,3.2,0.134628,72.5,-4.289256,33.0,CC(C)[NH2+]C(C1=NC=CN1)C1=NC=CN1,"[6, 11]",[]
2,3.371357,16.5,-6.272664,46.4,0.006823,12.2,-0.432839,89.0,CC1=NC(=NN1)c1cccc(n1)C1=NNC(=N1)C,"[16, 2, 11]",[]
