generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
3,8.712737,48.5,-5.198215,54.5,0.010518,15.3,-2.901744,30.7,O=C1c2cccc3cccc(C1=Nc1ccccc1)c23,"[0, 12]","[{'functional_group': 'tribromo', 'smiles_inds': [18]}, {'functional_group': 'methyl_ester', 'smiles_inds': [5]}]"
3,8.853949,50.0,-8.270182,40.1,0.005211,6.4,-2.026205,49.5,O=Cc1ccncc1,[5],"[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [6]}]"
3,9.007917,50.5,-14.896321,11.4,0.295194,75.7,-8.503547,5.0,[NH3+]C12CNCCSCC(CO)(CSCCNC1)CSCCNC2,"[6, 12, 18, 3, 15, 21]","[{'functional_group': 'chloro', 'smiles_inds': [9]}]"
3,9.223894,51.5,-7.129147,45.0,0.002343,4.0,-0.821125,74.3,CCOC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)OCC,"[9, 16]",[]
3,10.054506,55.9,-14.226569,12.9,0.172469,68.8,-7.866238,6.4,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
3,10.585014,57.9,-1.673431,83.2,0.288040,75.2,-8.358602,5.0,CN1N(C(=O)C(=C1C)N=Cc1cc(Br)ccc1[O-])c1ccccc1,"[8, 4, 17]",[]
3,10.785913,58.9,-8.014758,41.6,0.073826,56.4,-5.163740,16.8,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'methyl_ester', 'smiles_inds': [20]}, {'functional_group': 'amide', 'smiles_inds': [16]}, {'functional_group': 'methyl', 'smiles_inds': [15]}]"
3,10.903242,60.4,-3.060818,65.8,0.038943,39.6,-13.517860,1.0,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
3,10.914722,60.9,-8.048406,41.6,0.034380,39.1,-5.585977,15.3,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'ethyl', 'smiles_inds': [7]}]"
3,12.165124,68.3,-3.295836,65.3,0.013275,20.3,-5.148594,17.3,O=C([O-])C1=CNC=N1,"[2, 7]",[]
3,12.287841,69.3,-4.509632,56.9,0.009569,13.9,-8.032847,5.9,O=C([O-])c1ccnc(n1)c1ccccn1,"[14, 6]",[]
3,12.579832,69.8,-25.866563,2.5,0.002338,4.0,-2.217911,46.5,[nH+]1c2ccccc2nc2c1c1cccnc1c1ncccc21,"[14, 17]",[]
3,13.719955,72.8,-3.318365,64.9,0.008106,11.4,-4.784771,19.8,Oc1cccc(n1)C(=O)[O-],"[6, 9]",[]
3,33.951045,95.5,-2.138346,75.2,0.004051,5.9,-5.205830,16.8,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]",[]
4,0.168098,0.0,-3.097860,67.1,0.005159,6.0,-5.903516,14.4,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'phenyl', 'smiles_inds': [10]}]"
4,0.394739,0.5,-6.635308,50.5,0.034321,38.4,-2.050930,48.6,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'chloro', 'smiles_inds': [24]}]"
4,0.586116,0.9,-1.431365,87.5,0.074134,54.6,-7.518459,8.8,CNCCCN=Cc1c([O-])ccc2ccccc12,"[9, 1, 5]",[]
4,0.872954,1.9,-5.765495,54.2,0.004607,5.6,-0.345906,89.4,c1cnc2c(c1)ccc1ccc3cccnc3c21,"[15, 2]","[{'functional_group': 'methyl_ester', 'smiles_inds': [7]}, {'functional_group': 'ethyl', 'smiles_inds': [5]}]"
4,1.004562,2.3,-1.668777,83.8,0.028473,34.7,-8.254791,6.5,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
4,1.270509,4.6,-6.251301,51.4,0.066560,50.9,-2.558946,36.1,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
4,1.280612,5.1,-6.526226,51.4,0.007610,10.6,-1.240726,60.2,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]",[]
4,1.354261,6.0,-7.583574,46.8,0.044879,44.0,-3.428749,25.5,NC(=N)NN=O,"[4, 2]","[{'functional_group': 'iodo', 'smiles_inds': [0]}]"
4,1.382037,6.5,-23.393316,4.6,3.656520,95.8,-1.014135,67.1,[NH3+]C12CNCCNCC([NH2+]CCCCCCCCCCCCC)(CNCCNC1)CNCCNC2,"[6, 3, 24, 27, 30, 33]","[{'functional_group': 'ethyl', 'smiles_inds': [15]}, {'functional_group': 'cyanimide', 'smiles_inds': [28]}]"
4,1.516245,6.9,-7.012498,49.1,0.007169,7.4,-0.365702,88.0,CC(=N)C=N,"[2, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [3]}]"
