generation,section,smiles,coordList,functionalization,success_prob
0,top,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C6CP(c7ccccc7)c7ccccc7P(CC7OC(OC8C(COC)OC(OC9C(COC)OC(OC1C(OC)C2OC)C(OC)C9OC)C(OC)C8OC)C(OC)C(OC)C7OC(O6)C(OC)C5OC)c1ccccc1)C(OC)C4OC)C(OC)C3OC,"[39, 26]",[],0.9999992174381906
0,top,C1CN2CCN=Cc3ccc(nc3)c3ccc(C=NCCN(CCN=Cc4ccc(nc4)c4ccc(C=N1)cn4)CCN=Cc1ccc(nc1)c1ccc(C=NCC2)cn1)cn3,"[11, 59, 39, 61, 30, 48]",[],0.9999993168801701
0,top,CC(C)(C)O[Si](N[Si](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,"[6, 28, 13]","[{'functional_group': 'cyanimide', 'smiles_inds': [30]}]",0.9999996360541924
0,top,CC(C)(C)O[Si](N[Si](OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C)(OC(C)(C)C)OC(C)(C)C,"[6, 28, 13]",[],0.9999998344721802
0,top,COCC1OC2OC3C(CN)OC(OC4C(COC)OC(OC5C(COC)OC(OC6C(CN)OC(OC7C(COC)OC(OC1C(OC)C2OC)C(OC)C7OC)C(OC)C6OC)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC,"[33, 10]","[{'functional_group': 'tribromo', 'smiles_inds': [43]}, {'functional_group': 'phosphonate', 'smiles_inds': [9]}]",0.9999999766412443
0,top,COCC1OC2OC3C(COC)OC(OC4C5CP(CC6OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C(OC)C6OC(O5)C(OC)C4OC)c1ccccc1N(C)C)C(OC)C3OC,"[81, 18]",[],0.9999999766873623
0,top,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C6CP(CC7OC(OC8C(COC)OC(OC9C(COC)OC(OC1C(OC)C2OC)C(OC)C9OC)C(OC)C8OC)C(OC)C(OC)C7OC(O6)C(OC)C5OC)c1ccccc1)C(OC)C4OC)C(OC)C3OC,[26],[],0.9999999854204802
0,top,COCC1OC2OC3C(CN)OC(OC4C(COC)OC(OC5C(COC)OC(OC6C(CN)OC(OC7C(COC)OC(OC1C(OC)C2OC)C(OC)C7OC)C(OC)C6OC)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC,"[33, 10]",[],0.9999999935046073
0,top,COCC1OC2OC3C(COC)OC(OC4C5CN(CC6OC(OC7C(COC)OC(OC8C(COC)OC(OC1C(OC)C2OC)C(OC)C8OC)C(OC)C7OC)C(OC)C(OC)C6OC(O5)C(OC)C4OC)Cc1ccccn1)C(OC)C3OC,"[81, 18]",[],0.9999999945741058
0,top,COCC1OC2OC3C(COC)OC(OC4C(COC)OC(OC5C6CN(CC7OC(OC8C(COC)OC(OC9C(COC)OC(OC1C(OC)C2OC)C(OC)C9OC)C(OC)C8OC)C(OC)C(OC)C7OC(O6)C(OC)C5OC)Cc1ccccn1)C(OC)C4OC)C(OC)C3OC,"[26, 89]",[],0.9999999997477507
